Player,MPG,PPG,RPG,APG,PER,STL_PG,BLK_PG,WS/48
Jonas Valanciunas,25.8,12,9.5,0.7,20.1,0.5,0.8,0.183
Al Horford,32.3,14,6.8,5,17.7,0.8,1.3,0.137
T.J. Warren,31,14.4,5.1,1.1,15.6,1.2,0.6,0.096
Greg Monroe,22.5,11.7,6.6,2.3,21.1,1.1,0.5,0.147
Trevor Ariza,34.7,11.7,5.7,2.2,12.3,1.8,0.3,0.104
Sean Kilpatrick,25.1,13.1,4,2.2,13.1,0.7,0.1,0.039
Steven Adams,29.9,11.3,7.7,1.1,16.5,1.1,1,0.13
Darren Collison,30.3,13.2,2.3,4.6,15.3,1,0.1,0.091
Seth Curry,29,12.8,2.5,2.7,15.5,1.1,0.1,0.109
Avery Bradley,33.4,16.3,6.1,2.2,14.4,1.2,0.2,0.08
Zach Lavine,37.2,18.9,3.4,3,14.6,0.9,0.2,0.082
Austin Rivers,27.8,12,2.2,2.8,11.4,0.6,0.1,0.059
Marcin Gortat,31.2,10.8,10.4,1.5,15.5,0.5,0.8,0.128
Frank Kaminsky,26.1,11.7,4.5,2.2,13,0.6,0.5,0.056
Robert Covington,31.6,12.9,6.5,1.5,13.2,1.9,1,0.071
Gary Harris,31.3,14.9,3.1,2.9,16.5,1.2,0.1,0.124
Marvin Williams,30.2,11.2,6.6,1.4,13.7,0.8,0.7,0.105
Serge Ibaka,30.5,15.1,6.8,1.1,17.5,0.6,1.6,0.108
Allen Crabbe,28.5,10.7,2.8,1.2,11.6,0.7,0.3,0.088
Robin Lopez,28,10.4,6.4,1,14.4,0.2,1.4,0.09
Ricky Rubio,32.9,11.1,4.1,9.1,16.8,1.7,0.1,0.119
Marcus Smart,30.4,10.6,3.9,4.6,12,1.6,0.4,0.064
Courtney Lee,31.9,10.8,3.4,2.3,12.1,1.1,0.3,0.081
George Hill,31.5,16.9,3.4,4.1,19.3,1,0.2,0.182
Will Barton,28.4,13.7,4.3,3.4,15.5,0.8,0.5,0.093
Clint Capela,23.9,12.6,8.1,1,21.4,0.5,1.2,0.185
Gorgui Dieng,32.4,10,7.9,1.9,14.2,1.1,1.2,0.103
C.J. Miles,23.4,10.7,3,0.6,13.7,0.6,0.3,0.109
Thaddeus Young,30.2,11,6.1,1.6,14.9,1.5,0.4,0.099
Jamal Murray,21.5,9.9,2.6,2.1,11.9,0.6,0.3,0.037
Kent Bazemore,26.9,11,3.2,2.4,11.5,1.2,0.7,0.053
Pau Gasol,25.4,12.4,7.8,2.3,20.2,0.4,1.1,0.189
Nick Young,25.9,13.2,2.3,1,14.1,0.6,0.2,0.098
Ersan Ilyasova,27.3,14.8,5.9,1.8,15.4,0.6,0.3,0.087
Bojan Bogdanovic,26.9,14.2,3.6,1.6,13.1,0.4,0.1,0.053
Marco Belinelli,24,10.5,2.4,2,13.3,0.6,0.1,0.088
Draymond Green,32.5,10.2,7.9,7,16.5,2,1.4,0.16
Maurice Harkless,28.9,10,4.4,1.2,13.2,1.1,0.9,0.092
Shabazz Muhammad,19.4,9.9,2.8,0.4,14.9,0.3,0.1,0.086
Dirk Nowitzki,26.4,14.2,6.5,1.5,17,0.6,0.7,0.084
Jon Leuer,25.9,10.2,5.4,1.5,14.2,0.4,0.3,0.112
Malcolm Brogdon,26.4,10.2,2.8,4.2,14.9,1.1,0.2,0.1
Patty Mills,21.9,9.5,1.8,3.5,15.2,0.8,0,0.139
Ish Smith,24.1,9.4,2.9,5.2,14.7,0.8,0.4,0.076
Nik Stauskas,27.4,9.4,2.8,2.4,9,0.6,0.4,0.031
Marquese Chriss,21.3,9.2,4.2,0.7,12.3,0.8,0.9,0.05
Reggie Jackson,27.4,14.5,2.2,5.2,14.9,0.7,0.1,0.065
Rodney Hood,27,12.7,3.4,1.6,12.4,0.6,0.2,0.078
Nikola Mirotic,24,10.6,5.5,1.1,14.5,0.8,0.8,0.108
Michael Kidd-Gilchrist,29,9.2,7,1.4,14.3,1,1,0.119
Cory Joseph,25,9.3,2.9,3.3,13.2,0.8,0.2,0.082
Brandon Ingram,28.8,9.4,4,2.1,8.5,0.6,0.5,-0.007
Dion Waiters,30.1,15.8,3.3,4.3,14.5,0.9,0.4,0.057
Joe Johnson,23.6,9.2,3.1,1.8,12.8,0.5,0.2,0.099
Marreese Speights,15.7,8.7,4.5,0.8,17.6,0.3,0.5,0.156
Trevor Booker,24.7,10,8,1.9,15.7,1.1,0.4,0.086
E'Twaun Moore,24.9,9.6,2.1,2.2,12.1,0.7,0.4,0.07
Jamychal Green,27.3,8.9,7.1,1.1,13.5,0.6,0.4,0.131
Jameer Nelson,27.3,9.2,2.6,5.1,11.4,0.7,0.1,0.065
Tony Snell,29.2,8.5,3.1,1.2,9.7,0.7,0.2,0.071
Ty Lawson,25.1,9.9,2.6,4.9,15.4,1.1,0.1,0.088
Kelly Olynyk,20.5,9,4.8,2,15.2,0.6,0.4,0.127
Channing Frye,18.9,9.1,3.9,0.6,15.6,0.4,0.5,0.125
Rondae Hollis-Jefferson,22.6,8.7,5.8,2,13.7,1.1,0.6,0.07
Gerald Henderson,23.2,9.2,2.6,1.6,10.8,0.6,0.2,0.059
Wayne Ellington,24.2,10.5,2.1,1.1,12.6,0.6,0.1,0.105
Tony Allen,27,9.1,5.5,1.4,13.3,1.6,0.4,0.077
Patrick Beverley,30.7,9.5,5.9,4.2,13,1.5,0.4,0.124
Taj Gibson,27.3,11.6,7,1.1,15.5,0.5,0.9,0.105
Cody Zeller,27.8,10.3,6.5,1.6,16.7,1,0.9,0.157
Tony Parker,25.2,10.1,1.8,4.5,13,0.5,0,0.091
Jeff Green,22.2,9.2,3.1,1.2,10.5,0.5,0.2,0.022
Demarre Carroll,26.1,8.9,3.8,1,11.9,1.1,0.4,0.097
Norman Powell,18,8.4,2.2,1.1,14,0.7,0.2,0.097
Tristan Thompson,29.9,8.1,9.2,1,15.3,0.5,1.1,0.15
Monta Ellis,27,8.5,2.8,3.2,10,1.1,0.4,0.026
Justin Holiday,20,7.7,2.7,1.2,12.7,0.8,0.4,0.073
Joel Embiid,25.4,20.2,7.8,2.1,24.1,0.9,2.5,0.117
D.J. Augustin,19.7,7.9,1.5,2.7,11,0.4,0,0.038
Alex Len,20.3,8,6.6,0.6,15,0.5,1.3,0.091
Willie Cauley-Stein,18.9,8.1,4.5,1.1,16.4,0.7,0.6,0.1
Nene Hilario,17.9,9.1,4.2,1,18.9,0.8,0.6,0.165
Jeremy Lamb,18.4,9.7,4.3,1.2,17,0.4,0.4,0.115
Emmanuel Mudiay,25.6,11,3.2,3.9,10.9,0.7,0.2,0.006
Mason Plumlee,28.1,11.1,8,4,18.9,0.9,1.2,0.146
Brandon Knight,21.1,11,2.2,2.4,12.3,0.5,0.1,0.013
Jahlil Okafor,22.7,11.8,4.8,1.2,14.8,0.4,1,0.05
Willy Hernangomez,18.4,8.2,7,1.3,18.9,0.6,0.5,0.123
Kenneth Faried,21.2,9.6,7.6,0.9,20.3,0.7,0.7,0.169
Vince Carter,24.6,8,3.1,1.8,11.7,0.8,0.5,0.106
Evan Turner,25.5,9,3.8,3.2,11.4,0.8,0.4,0.035
Terrence Jones,24.8,11.5,5.9,1.1,16.2,0.8,1,0.089
Joe Ingles,24,7.1,3.2,2.7,12.4,1.2,0.1,0.122
Matthew Dellavedova,26.1,7.6,1.9,4.7,9.4,0.7,0,0.029
David Lee,18.7,7.3,5.6,1.6,18.4,0.4,0.5,0.186
Andre Iguodala,26.3,7.6,4,3.4,14.4,1,0.5,0.167
Iman Shumpert,25.5,7.5,2.9,1.4,9,0.8,0.4,0.05
Solomon Hill,29.7,7,3.8,1.8,8,0.9,0.4,0.055
Rudy Gay,33.8,18.7,6.3,2.7,17.9,1.5,0.9,0.086
Richaun Holmes,20.9,9.8,5.5,1,18.6,0.7,1,0.151
Terrence Ross,22.4,10.4,2.6,0.8,14.9,1,0.4,0.116
T.J. Mcconnell,26.3,6.9,3.1,6.6,13.7,1.7,0.1,0.084
